Path,Sample,ReferenceGenome,ProviderName,Subject,Outgroup
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,HOP004,Ypestis_ASM906v1,HOP004,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,I2470,Ypestis_ASM906v1,I2470,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,I5884,Ypestis_ASM906v1,I5884,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,KLE031,Ypestis_ASM906v1,KLE031,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,KLE048,Ypestis_ASM906v1,KLE048,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,KLZ001,Ypestis_ASM906v1,KLZ001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,KNK001,Ypestis_ASM906v1,KNK001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,KunilaII,Ypestis_ASM906v1,KunilaII,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,KZL002,Ypestis_ASM906v1,KZL002,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,LAI009.A0101,Ypestis_ASM906v1,LAI009.A0101,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,MAN008.B0101,Ypestis_ASM906v1,MAN008.B0101,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,MIB054,Ypestis_ASM906v1,MIB054,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,NMS002.A0101,Ypestis_ASM906v1,NMS002.A0101,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,OBS107,Ypestis_ASM906v1,OBS107,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,OBS110,Ypestis_ASM906v1,OBS110,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,OBS116,Ypestis_ASM906v1,OBS116,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,OBS124,Ypestis_ASM906v1,OBS124,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,OBS137,Ypestis_ASM906v1,OBS137,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,OOH003,Ypestis_ASM906v1,OOH003,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,RISE505,Ypestis_ASM906v1,RISE505,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,RISE509,Ypestis_ASM906v1,RISE509,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,RK1001,Ypestis_ASM906v1,RK1001,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,RT5,Ypestis_ASM906v1,RT5,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,RT6,Ypestis_ASM906v1,RT6,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,RV2039,Ypestis_ASM906v1,RV2039,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,STA001.A0101,Ypestis_ASM906v1,STA001.A0101,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,STN002.A0101,Ypestis_ASM906v1,STN002.A0101,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,STN007.A0101,Ypestis_ASM906v1,STN007.A0101,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,STN008.A0101,Ypestis_ASM906v1,STN008.A0101,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,STN014.A0101,Ypestis_ASM906v1,STN014.A0101,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,STN019.A0101,Ypestis_ASM906v1,STN019.A0101,0,0
/ptmp/iclight/pestis_bams_clean_production_run_07_02_2024/,STN020.A0101,Ypestis_ASM906v1,STN020.A0101,0,0
